Designator,Mid X,Mid Y,Rotation,Layer
C1,12.8,37.75,180.0,top
D1,49.3,37.0,270.0,top
D10,47.3,21.5,90.0,top
D2,56.3,37.0,270.0,top
D3,63.3,37.0,270.0,top
D4,70.3,37.0,270.0,top
D5,51.3,21.5,90.0,top
D6,44.3,37.5,270.0,top
D7,37.3,37.5,270.0,top
D8,65.3,21.5,90.0,top
D9,61.3,21.5,90.0,top
J1,14.3,43.5,180.0,top
J10,45.3,6.5,0.0,top
J2,56.3,43.5,180.0,top
J3,70.3,43.5,180.0,top
J4,42.3,43.5,180.0,top
J5,3.3,6.5,0.0,top
J6,17.3,6.5,0.0,top
J7,31.3,6.5,0.0,top
J8,59.3,6.5,0.0,top
J9,28.3,43.5,180.0,top
Q1,49.3,28.0,90.0,top
Q2,63.3,28.0,90.0,top
R1,44.8,18.0,270.0,top
R10,41.3,36.5,180.0,top
R11,34.3,38.5,0.0,top
R12,34.3,36.5,180.0,top
R13,53.8,21.5,270.0,top
R14,67.8,21.5,270.0,top
R15,58.8,21.5,270.0,top
R16,44.8,21.5,270.0,top
R2,41.3,38.5,180.0,top
R3,47.3,18.0,90.0,top
R4,53.8,18.0,270.0,top
R5,51.3,18.0,90.0,top
R6,58.8,18.0,270.0,top
R7,61.3,18.0,90.0,top
R8,67.8,18.0,270.0,top
R9,65.3,18.0,90.0,top
U1,18.8,25.0,90.0,top
